1825	1815
1815	1850
1850	1815
1815	1804
1804	1788
1788	1815
1815	1817
1817	1813
1813	1789
1789	1751
1751	1729
1729	1688
1688	1722
1722	1734
1734	1779
1779	1702
1702	1686
1686	1678
1678	1619
1619	1624
1624	1659
1659	1690
1690	1697
1697	1669
1669	1649
1649	1624
1624	1624
1624	1578
1578	1556
1556	1536
1536	1473
1473	1523
1523	1521
1521	1492
1492	1475
1475	1577
1577	1563
1563	1609
1609	1630
1630	1615
1615	1608
1608	1653
1653	1663
1663	1616
1616	1616
1616	1698
1698	1673
1673	1639
1639	1642
1642	1758
1758	1798
1798	1794
1794	1790
1790	1816
1816	1830
1830	1823
1823	1821
1821	1793
1793	1795
1795	1796
1796	1847
1847	1892
1892	1844
1844	1785
1785	1814
1814	1852
1852	1753
1753	1825
1825	1837
1837	1813
1813	1795
1795	1800
1800	1783
1783	1801
1801	1800
1800	1728
1728	1635
1635	1591
1591	1699
1699	1703
1703	1704
1704	1748
1748	1781
1781	1837
1837	1802
1802	1795
1795	1846
1846	1849
1849	1903
1903	1908
1908	1920
1920	1866
1866	1816
1816	1823
1823	1899
1899	1908
1908	1923
1923	1918
1918	1864
1864	1881
1881	2014
2014	1996
1996	1959
1959	2097
2097	2244
2244	2260
2260	2360
2360	2233
2233	2214
2214	2261
2261	2282
2282	2274
2274	2194
2194	2182
2182	2156
2156	2230
2230	2235
2235	2231
2231	2156
2176	2176
2176	2176
2176	2176
2176	2197
2197	2192
2192	2272
2272	2275
2275	2215
2215	2229
2229	2338
2338	2308
2308	2478
2478	2517
2517	2593
2593	2504
2504	2442
2442	2290
2290	2185
2185	2279
2279	2389
2389	2416
2416	2332
2332	2324
2324	2331
2331	2398
2398	2326
2326	2324
2324	2216
2216	2377
2377	2503
2503	2675
2675	2876
2876	3066
3066	3132
3132	3106
3106	2961
2961	2887
2887	2896
2896	2853
2853	2828
2828	2842
2842	2711
2711	2768
2768	2788
2788	2741
2741	2776
2776	2618
2618	2490
2490	2424
2424	2462
2462	2371
2371	2313
2313	2319
2319	2301
2301	2190
2190	2078
2078	1975
1975	2035
2035	1967
1967	1958
1958	1865
1865	1845
1845	1823
1823	1850
1850	1955
1955	1943
1943	1936
1936	1952
1952	1936
1936	1960
1960	1931
1931	1964
1964	2023
2023	2038
2038	1947
1947	2043
2043	2093
2093	1974
1974	1974
1974	1974
1974	2005
2005	2026
2026	1967
1967	1949
1949	1970
1970	1857
1857	1746
1746	1718
1718	1705
1705	1751
1751	1856
1856	1825
1825	1848
1848	1907
1907	1939
1939	2000
2000	2099
2099	1978
1978	2074
2074	1942
1942	1942
1942	2016
2016	2039
2039	1909
1909	1883
1883	1863
1863	1791
1791	1789
1789	1826
1826	1803
1803	1873
1873	2003
2003	1946
1946	1833
1833	1815
1815	1760
1760	1797
1797	1808
1808	1717
1717	1718
1718	1704
1704	1755
1755	1694
1694	1758
1758	1691
1691	1593
1593	1492
1492	1432
1432	1448
1448	1471
1471	1481
1481	1496
1496	1511
1511	1512
1512	1510
1510	1511
1511	1511
1511	1518
1518	1523
1523	1532
1532	1554
1554	1549
1549	1558
1558	1567
1567	1565
1565	1567
1567	1571
1571	1579
1579	1532
1532	1541
1541	1536
1536	1503
1503	1410
1410	1405
1405	1404
1404	1405
1405	1432
1432	1432
1432	1448
1448	1423
1423	1402
1402	1353
1353	1342
1342	1346
1346	1357
1357	1351
1351	1341
1341	1337
1337	1341
1341	1344
1344	1330
1330	1363
1363	1367
1367	1368
1368	1361
1361	1305
1305	1300
1300	1336
1336	1340
1340	1342
1342	1373
1373	1382
1382	1380
1380	1380
1380	1381
1381	1398
1398	1423
1423	1458
1458	1466
1466	1465
1465	1470
1470	1482
1482	1481
1481	1465
1465	1452
1452	1474
1474	1419
1419	1366
1366	1369
1369	1394
1394	1449
1449	1427
1427	1354
1354	1348
1348	1352
1352	1359
1359	1344
1344	1335
1335	1303
1303	1290
1290	1281
1281	1288
1288	1294
1294	1323
1323	1334
1334	1335
1335	1326
1326	1343
1343	1418
1418	1477
1477	1488
1488	1496
1496	1555
1555	1577
1577	1559
1559	1582
1582	1667
1667	1647
1647	1563
1563	1549
1549	1548
1548	1523
1523	1596
1596	1588
